"Geo_code","Geo_Label","Population","Year","Race","Cohort","Eventname","Event_Label","Observed","O_E_ratio","Crude_Rate","Std_Error","Uppercl","Lowercl","Percentile","adjusted_rate","Short_label","cohort_web_label","Geo_Name"
"19","STATE",54656,2012,"Overall","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",42850,0.970399461703804,78.399443793911,0.37873685495617,79.1417680296251,77.6571195581969,0.365,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Louisiana"
"46","STATE",14871,2011,"Overall","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",11055,0.922620516489727,74.3393181359693,0.707032210968482,75.7251012694676,72.9535350024711,0.153,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Utah"
"12","STATE",10117,2008,"Overall","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",8407,1.0370913103685,83.0977562518533,0.906293309057633,84.8740911376063,81.3214213661004,0.826,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Hawaii"
"39","STATE",10096,2012,"Black","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",7616,0.99347484582585,75.4358161648178,0.864398741254811,77.1300376976772,73.7415946319583,0.557,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Pennsylvania"
"11","STATE",79850,2014,"Non-Black","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",65175,1.00789252698124,81.6217908578585,0.319716904476387,82.2484359906322,80.9951457250848,0.596,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Georgia"
"32","STATE",20393,2012,"Non-Black","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",13998,0.842297034533768,68.641200411906,0.580165467648618,69.7783247284973,67.5040760953147,0.057,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","New Mexico"
"24","STATE",26450,2010,"Non-Black","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",22030,1.02172882596901,83.289224952741,0.561153365854971,84.3890855498168,82.1893643556653,0.725,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Minnesota"
"23","STATE",113509,2010,"Non-Black","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",93780,1.01350700863813,82.6189993744989,0.269789359191074,83.1477865185134,82.0902122304844,0.647,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Michigan"
"39","STATE",96211,2008,"Non-Black","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",78328,1.00499654841501,81.4127282743137,0.290893347994424,81.9828792363828,80.8425773122447,0.607,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Pennsylvania"
"25","STATE",31487,2010,"Non-Black","Diabetic Events","diab_bloodlip","Percent of Diabetic Medicare Enrollees Receiving Blood Lipids Testing",23922,0.931993808862646,75.974211579382,0.491210293314075,76.9369837542776,75.0114394044864,0.235,,"Blood Lipids Testing for Diabetics","Secondary Screening for Diabetes","Mississippi"
