Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,2234,973117.85497,259514.46956,224424.80662
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,272,574562.9375,149287.55147,126592.93382
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",17514,571475.43519,141919.2136,126838.16181
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",14423,328349.18769,78985.714137,71345.880815
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1295,554182.94749,125307.2973,99331.899614
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,481,302823.80665,57606.174636,41016.787942
National,,National,007,LUNG TRANSPLANT,630,550038.34603,110943.58413,86998.514286
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,449,406493.08463,68667.525612,43453.153675
National,,National,010,PANCREAS TRANSPLANT,50,292054.7,67489.12,32228.84
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1761,179171.86542,45605.151051,39418.392391
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1818,137011.5396,33978.453245,27997.387789
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",668,88753.20509,20221.916168,16662.520958
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,936,409884.69979,123634.31838,105346.25107
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,2030,231564.76059,62709.200985,50322.850246
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,146,161956.23288,42692.623288,32073.883562
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,1465,360466.11195,86277.737201,76199.827986
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,356,251834.8736,61943.320225,54466.853933
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,106,185344.83962,37877.556604,34109.811321
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,8177,189407.74869,44331.741103,38737.68974
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,2945,133243.16401,30538.45365,26871.719864
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,18936,153282.2744,35293.489913,30675.842575
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,8219,106525.25794,24608.818713,20780.692298
