Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,2142,1218640.8819,280557.09851,243168.17647
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,126,642221.72222,148561.60317,122803.07937
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",13801,710169.32896,164691.53228,144183.33469
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",11923,405365.94724,91138.109117,81571.495177
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1279,610749.49883,123451.81235,101422.64894
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,480,343792.19792,56570.510417,43544.045833
National,,National,007,LUNG TRANSPLANT,721,756968.53814,136758.55479,104736.00693
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,444,474804.49324,80808.783784,47906.484234
National,,National,010,PANCREAS TRANSPLANT,32,306431.1875,61815.25,28665.65625
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1877,207830.63506,50787.888652,42585.211508
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1853,167986.5742,38652.35564,32380.240691
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",514,113990.71595,24886.431907,19444.406615
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1184,488769.6951,132975.66301,111850.04054
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,2501,379148.03838,93912.097561,80101.010796
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,114,170835.42982,40244.105263,31758.377193
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,1807,403639.49198,96699.250692,84429.453237
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,455,285491.57363,73091.336264,60272.945055
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,158,161185.94304,43594.582278,36427.386076
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,13283,212962.02243,46518.228036,40570.27027
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4743,144095.55303,31919.738562,27608.368121
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,22136,173001.07454,37593.201166,32126.970817
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,9350,121175.76353,26162.247059,22011.517861
National,,National,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,10423,100719.91509,21479.835748,17353.703252
National,,National,028,SPINAL PROCEDURES WITH MCC,2256,210578.93484,47034.612589,41134.888298
National,,National,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3828,122207.30747,26900.219697,22067.899948
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,1484,87693.915094,18788.431267,15162.292453
National,,National,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,937,151343.60832,35793.037353,30816.346852
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,2031,84618.054653,19005.924668,15720.537174
National,,National,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2729,64318.67424,14166.172957,11882.356174
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1235,147002.71417,29820.188664,26249.537652
National,,National,035,CAROTID ARTERY STENT PROCEDURES WITH CC,3224,86552.167494,17418.82103,15038.651365
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,4860,64597.771605,12917.420165,11002.2607
National,,National,037,EXTRACRANIAL PROCEDURES WITH MCC,3643,128849.06423,26316.01894,23055.279989
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,11762,68887.269342,12988.550077,10833.011478
National,,National,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,22641,47676.163906,8797.9540215,6784.9800804
National,,National,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",4841,146676.65648,33205.334435,28299.241686
