Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,2382,1037408.262,265102.25105,231220.02519
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,205,584934.50732,151542.35122,119235.85366
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",16292,617656.99349,148452.90179,131956.00589
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",14261,354459.36547,82326.419466,73395.524788
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1298,557788.30508,125162.75578,97629.436826
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,524,329329.98282,57438.910305,39587.589695
National,,National,007,LUNG TRANSPLANT,634,613543.3612,117227.71293,89765.182965
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,454,435529.18502,82734.722467,46857.101322
National,,National,010,PANCREAS TRANSPLANT,50,278016.2,50751.72,32846.98
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1889,186191.11646,46995.466384,41066.633139
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1835,150878.19837,35454.838692,29165.416349
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",625,92361.4016,21383.2544,16919.896
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,969,448487.43653,126303.11868,105993.91641
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,2070,237590.58068,62299.598068,51171.96715
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,125,157524.448,41787.808,30924.096
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,1564,390337.11893,88486.299233,78048.019182
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,381,273191.11549,64990.32021,53498.984252
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,102,175147.5,46814.509804,36477.009804
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,9867,195094.053,44482.449174,39161.504915
