Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,1874,1234159.2199,297495.98773,257726.87567
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,92,654214.22826,157538.67391,138982.77174
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",13016,778058.3813,180341.13215,159324.1283
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",14004,484523.15224,107560.2827,95663.059911
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1288,684737.54658,138853.42158,107828.94255
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,400,373695.535,60710.2675,44332.47
National,,National,007,LUNG TRANSPLANT,657,831848.6895,138810.94977,115914.23896
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,397,484565.89421,82098.738035,46841.634761
National,,National,010,PANCREAS TRANSPLANT,29,273677.51724,56045.689655,31354.793103
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1748,219471.96453,51005.368421,44103.121854
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1707,181048.11716,41107.684241,33963.858817
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",424,113762.50472,25446.84434,19681.132075
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1106,459490.67269,139020.22694,119499.20434
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,2496,418496.45433,103771.69952,90046.435897
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,74,146343.91892,46788.324324,35512.5
National,,National,018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,178,1437802.7528,326937.00562,310266.60112
National,,National,019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,23,513981.13043,89916.478261,61080.869565
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,1833,397196.62902,100038.80251,86622.77796
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,530,266639.88491,74292.316981,61206.707547
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,227,154125.55947,43777.264317,38111.259912
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,12907,224066.53258,49159.696676,42646.67506
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4368,154836.24611,33846.579899,28862.32326
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,20950,185433.58239,40069.177804,34305.746396
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,7928,125279.34649,27249.401615,23060.885595
National,,National,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,8117,107507.90982,22483.289393,18307.581988
National,,National,028,SPINAL PROCEDURES WITH MCC,2206,226016.61287,50665.786491,43678.002267
National,,National,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3314,133681.84671,29106.031684,23886.501509
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,1037,96683.859209,20464.945998,16564.46866
National,,National,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,901,161166.43396,38379.830189,32017.762486
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,1819,88049.484332,19470.389225,16180.442001
National,,National,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2166,69517.477839,14937.28855,12367.131579
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1351,155743.59289,31555.451517,27988.609178
National,,National,035,CAROTID ARTERY STENT PROCEDURES WITH CC,3704,89785.529968,18297.50297,15934.271868
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,4915,69337.430112,13863.471414,11541.935504
National,,National,037,EXTRACRANIAL PROCEDURES WITH MCC,2960,137614.09459,27890.076351,24151.133446
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,9081,72571.561943,13571.80762,11225.795617
National,,National,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,16298,51267.965088,9155.6771383,7119.7848816
